,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ supermodel_v5_hydra,n_sets delta w/ supermodel_v5_hydra,is_FA delta w/ supermodel_v5_hydra
147,overhead press wide standing single arm,MVP,1496,6,13.10%,66.67%,66.67%,0,-1.00,81.86%,43,79.21%,0.00%,0.00,0.00%
148,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0.00,96.07%,32,79.60%,0.00%,0.00,0.26%
149,pike pushup on knees,List A,335,15,2.67%,86.67%,93.33%,1,-0.27,99.78%,133,71.47%,0.67%,0.00,0.00%
150,pike pushup on toes,List A,851,13,3.46%,84.62%,92.31%,1,0.38,100.00%,117,63.74%,0.48%,0.00,0.00%
151,punches alternating heels planted,List A,1084,11,15.86%,36.36%,63.64%,0,-1.00,96.62%,146,84.10%,-1.82%,0.00,0.71%
152,push press single arm,List A,1242,13,23.16%,30.77%,46.15%,0,-3.46,64.18%,218,88.44%,-0.35%,0.00,1.87%
153,push press standing both arms,List A,1241,20,69.00%,10.00%,10.00%,0,-6.55,28.01%,185,56.26%,1.00%,0.00,-0.08%
154,pushup jack at bottom,List A,963,16,9.58%,81.25%,87.50%,1,-0.44,86.37%,86,83.12%,0.00%,0.00,-0.19%
155,pushup on knees,MVP,328,15,9.30%,66.67%,86.67%,1,-1.27,89.48%,180,83.60%,-0.55%,0.00,-0.40%
156,pushup on toes,MVP,856,13,9.60%,76.92%,76.92%,1,-0.92,82.43%,121,91.91%,-0.96%,0.00,-0.37%
157,reverse fly on knees both arms,MVP,1253,19,5.69%,63.16%,89.47%,1,0.32,96.08%,198,91.89%,1.00%,0.00,-0.12%
158,reverse fly split stance both arms,MVP,1256,14,5.59%,28.57%,71.43%,1,0.79,92.67%,248,91.59%,-0.92%,0.00,0.34%
159,reverse fly standing bent over alternating,MVP,1251,11,19.64%,36.36%,45.45%,0,-2.00,92.99%,128,64.94%,0.00%,0.00,-0.04%
160,reverse fly standing bent over both arms,MVP,1250,18,1.94%,83.33%,94.44%,1,-0.11,99.21%,194,93.11%,0.51%,0.00,-0.13%
161,reverse lunge alternating,MVP,871,10,0.00%,100.00%,100.00%,1,0.00,95.48%,119,96.05%,0.00%,0.00,0.40%
162,reverse lunge alternating single dumbbell pass through,List A,872,8,2.21%,75.00%,100.00%,1,0.00,95.92%,88,93.83%,0.00%,0.00,0.02%
163,reverse lunge arms by side,MVP,881,18,4.99%,72.22%,94.44%,1,-0.22,95.06%,197,92.26%,-0.51%,0.00,-0.28%
164,reverse lunge arms by side dumbbell,MVP,890,13,2.46%,84.62%,92.31%,1,0.31,96.61%,144,89.70%,1.10%,0.00,-1.05%
165,reverse lunge arms overhead,MVP,883,19,0.53%,94.74%,100.00%,1,-0.05,97.89%,209,94.51%,-0.03%,1.00,-0.03%
166,reverse lunge arms overhead dumbbell,MVP,891,5,0.00%,100.00%,100.00%,1,0.00,96.41%,52,95.67%,0.00%,0.00,-0.66%
167,reverse lunge arms straight out,MVP,882,20,0.00%,100.00%,100.00%,1,0.00,95.92%,220,95.12%,0.00%,1.00,-0.06%
168,reverse lunge hands on hips,MVP,884,17,6.04%,64.71%,82.35%,1,-0.65,94.94%,185,82.05%,0.00%,0.00,-0.35%
169,reverse lunge offset,MVP,877,5,0.00%,100.00%,100.00%,1,0.00,92.34%,51,96.58%,0.00%,0.00,-0.35%
170,reverse lunge runner arms,MVP,887,17,1.60%,88.24%,94.12%,1,-0.18,95.31%,182,94.42%,0.00%,0.00,-0.34%
171,reverse lunge single dumbbell by side,MVP,878,7,4.29%,85.71%,85.71%,1,-0.43,97.21%,70,93.14%,0.00%,0.00,-0.09%
172,reverse lunge single dumbbell overhead,MVP,879,6,6.52%,66.67%,83.33%,1,-0.67,88.29%,60,95.14%,0.00%,0.00,0.27%
173,reverse lunge single leg,MVP,880,4,14.86%,25.00%,75.00%,0,-2.50,98.18%,68,96.61%,0.00%,0.00,0.04%
174,reverse lunge weights racked,MVP,892,8,2.50%,87.50%,87.50%,1,-0.25,95.55%,86,95.62%,0.00%,0.00,-0.24%
175,reverse lunge with curl,List A,885,19,3.16%,89.47%,89.47%,1,-0.32,98.28%,185,97.04%,0.00%,0.00,0.17%
176,reverse lunge with twist dumbbell,List A,889,7,7.30%,42.86%,85.71%,1,0.14,97.35%,69,30.31%,0.00%,0.00,-0.02%
177,roll up fingertips to ceiling,List A,1093,17,4.97%,70.59%,88.24%,1,0.24,92.79%,157,88.83%,1.18%,0.00,-0.17%
